lap,idx,s,speed,speed_kmh,throttle,brake,gear,battery,harvested,deployed,time
0,0,0.0,53.702422025477354,193.32871929171847,0.05517943155978949,0.006239780813448106,4,0.8249080237694725,0.0,0.0,0.08
0,1,4.827500000000001,56.29068001237084,202.64644804453505,0.5710592611560483,0.03464704583099741,5,0.8249080237694725,0.0,0.0,0.16
0,2,9.655000000000001,54.99466138114814,197.98078097213332,0.2890301308115608,0.007336180394137352,4,0.8249080237694725,0.0,0.0,0.24
0,3,14.4825,55.291112661273885,199.048005580586,0.41034776771000997,0.020990257265289514,4,0.8249080237694725,0.0,0.0,0.32
0,4,19.310000000000002,57.730724797049426,207.83060926937793,0.2775374161084572,0.0055797544260816736,5,0.8249080237694725,0.0,0.0,0.4
0,5,24.1375,54.033754660390855,194.52151677740707,0.4332664850061841,0.014654473731747669,4,0.8249080237694725,0.0,0.0,0.48000000000000004
0,6,28.965,55.72796014038679,200.62065650539245,0.5627938404189403,0.020569377536544465,5,0.8249080237694725,0.0,0.0,0.56
0,7,33.792500000000004,57.976789450109315,208.71644202039354,0.5771676093063665,0.001858016508799909,5,0.8249080237694725,0.0,0.0,0.64
0,8,38.620000000000005,56.18363011707013,202.26106842145248,0.650021375186549,0.0039068845602553545,5,0.8249080237694725,0.0,0.0,0.72
0,9,43.4475,58.96653945156383,212.2795420256298,0.4704180646057067,0.004881529393791153,5,0.8249080237694725,0.0,0.0,0.7999999999999999
0,10,48.275,58.96175092961979,212.26230334663126,0.4940646201189203,0.012468443043576439,5,0.8249080237694725,0.0,0.0,0.8799999999999999
0,11,53.1025,55.759417187364804,200.7339018745133,0.17561173274925068,0.021868411173731186,5,0.8249080237694725,0.0,0.0,0.9599999999999999
0,12,57.93,59.228186726132314,213.22147221407633,0.18618371929818792,0.00353970008207678,5,0.8249080237694725,0.0,0.0,1.0399999999999998
0,13,62.7575,58.48620843896515,210.55035038027455,0.3090638142251011,0.0018090915564215227,5,0.8249080237694725,0.0,0.0,1.1199999999999999
0,14,67.58500000000001,55.93950434879552,201.38221565566388,0.3389156603589098,0.033149500366077174,5,0.8249080237694725,0.0,0.0,1.2
0,15,72.41250000000001,57.407002264313896,206.66520815153004,0.515561279000336,0.01123738038749523,5,0.8249080237694725,0.0,0.0,1.28
0,16,77.24000000000001,59.349833856359155,213.65940188289295,0.9375425897704914,0.0029820257471908328,5,0.8249080237694725,0.0,0.0,1.36
0,17,82.0675,58.37075218855664,210.1347078788039,0.005246011267422279,0.007948627261366897,5,0.8249080237694725,0.0,0.0,1.4400000000000002
